channel_name,channel_id,appearances,latest_video,sample_titles,matched_queries,subscriber_count,video_count,avg_recent_views,days_since_last_upload,posting_cadence_days,view_sub_ratio,recency,cadence_score,engagement_score,freq_norm,final_score,youtube_url
Vasco's SEO Tips,UC99hX2gAnyK7asCu6Vhi0vg,2,2025-12-18,Programmatic SEO Course with AI (templates included) | How to do Programmatic SEO : Full Beginner&#39;s Tutorial to pSEO in 2025,"""programmatic SEO"" AI",27400,1059,212.2,1,0.25,0.007744525547445255,0.9833333333333333,0.9916666666666667,0.038722627737226276,0.5,0.5807834549878346,https://youtube.com/channel/UC99hX2gAnyK7asCu6Vhi0vg
Ali The AI Guy,UCNk8FWfkYNAL8Nc5FW41iUg,1,2025-10-02,What is Answer Engine Optimization? (AEO vs SEO Explained in 2025),"""AEO"" answer engine optimization SEO",100,104,365.0,41,1.0,3.65,0.31666666666666665,0.9666666666666667,1.0,0.0,0.5725,https://youtube.com/channel/UCNk8FWfkYNAL8Nc5FW41iUg
Simplilearn,UCsvqVGtbbyHaMoevxPAq9Fg,2,2025-04-22,What is AEO (Answer Engine Optimization)? | AEO vs SEO The Key Differences Explained | Simplilearn | 🔥 Impact of AI on SEO Jobs | Will AI Tools Kill SEO? #Shorts #Simplilearn,"""AI SEO"" content workflow 2025, ""AEO"" answer engine optimization SEO",6540000,11677,588.0,1,0.0,8.990825688073395e-05,0.9833333333333333,1.0,0.00044954128440366975,0.5,0.5709681957186544,https://youtube.com/channel/UCsvqVGtbbyHaMoevxPAq9Fg
Hostinger Academy,UCbNIC-svDbtUOH2qsLnPQPg,2,2025-07-29,What Is GEO and Why It Is Important in 2026 | GEO Explained in 30 Seconds,"""GEO"" generative engine optimization",364000,1135,1313.0,2,0.5,0.003607142857142857,0.9666666666666667,0.9833333333333333,0.018035714285714283,0.5,0.5687440476190476,https://youtube.com/channel/UCbNIC-svDbtUOH2qsLnPQPg
Paperclick,UCQYcT0xksPOZ5q4hXTa-GAA,2,2026-03-24,Frase vs Surfer SEO (2026) - Which One Is BETTER? | Scalenut vs Surfer SEO vs Frase (2026) - Which One Is BEST?,"""Surfer SEO"" AI content workflow",2860,3705,1.6,2,0.0,0.0005594405594405594,0.9666666666666667,1.0,0.002797202797202797,0.5,0.5675058275058275,https://youtube.com/channel/UCQYcT0xksPOZ5q4hXTa-GAA
Umar Tazkeer ,UCnqtMFtOv3AKCAhyEYtSXiA,2,2025-06-18,SEO vs AIO vs GEO vs AEO - What’s the Real Difference? (Terms Explained) | Umar Tazkeer | SEO vs AIO vs GEO vs AEO - What’s the Real Difference? (Terms Explained) | Umar Tazkeer,"""GEO"" generative engine optimization, ""AEO"" answer engine optimization SEO",606000,1839,1726.2,1,1.5,0.002848514851485149,0.9833333333333333,0.95,0.014242574257425743,0.5,0.5651061056105611,https://youtube.com/channel/UCnqtMFtOv3AKCAhyEYtSXiA
Ahrefs,UCWquNQV8Y0_defMKnGKrFOQ,2,2026-04-29,Answer Engine Optimization (AEO) Course by Ahrefs: What is AEO? | SEO in 2026: How I&#39;d Rank in Google in the AI Era,"""AI SEO"" content workflow 2025, ""AEO"" answer engine optimization SEO",668000,392,2739.0,2,2.0,0.004100299401197605,0.9666666666666667,0.9333333333333333,0.020501497005988023,0.5,0.5594837824351298,https://youtube.com/channel/UCWquNQV8Y0_defMKnGKrFOQ
Damini Tripathi,UCBndAQxGxEb3M-oXL1ohrVg,1,2025-08-11,Get Traffic from CHATGPT &amp; Other Ai tools 💯 #SEO #GEO,"""GEO"" generative engine optimization",322000,297,27903.6,5,5.75,0.08665714285714285,0.9166666666666666,0.8083333333333333,0.4332857142857142,0.0,0.5208190476190476,https://youtube.com/channel/UCBndAQxGxEb3M-oXL1ohrVg
Caleb Ulku,UCAqcn2yiuWsTj22V1KmzZhw,1,2024-12-25,How I Use AI to Make $$ Each Month (Beginner&#39;s Guide),"""how I use AI"" SEO content",42500,460,2223.8,1,0.75,0.05232470588235295,0.9833333333333333,0.975,0.2616235294117647,0.0,0.5193203921568628,https://youtube.com/channel/UCAqcn2yiuWsTj22V1KmzZhw
Backlinko,UC1I8fcAdjxy-YgChuzUIUPw,1,2025-07-25,What Is Generative Engine Optimization (GEO)? How to Show Up in AI Search,"""GEO"" generative engine optimization",2390,252,93.6,1,0.75,0.039163179916317986,0.9833333333333333,0.975,0.19581589958158993,0.0,0.49957810320781026,https://youtube.com/channel/UC1I8fcAdjxy-YgChuzUIUPw
Arvow,UC6znb1-zW4rfzGfNqDOxq-A,1,2025-12-17,Programmatic SEO Course: How to do Programmatic SEO with AI,"""programmatic SEO"" AI",6980,832,448.4,11,3.25,0.06424068767908309,0.8166666666666667,0.8916666666666666,0.32120343839541543,0.0,0.47886103151862464,https://youtube.com/channel/UC6znb1-zW4rfzGfNqDOxq-A
Brandlyr,UC-IgdvCMontZYZ-P7m4w8QA,1,2025-09-30,"AI Marketing Stack 2025: Best AI Tools for Business Growth, SEO, &amp; Automation (High ROI Guide)","""AI SEO"" content workflow 2025",56,26,392.4,214,6.75,7.007142857142857,0.0,0.775,1.0,0.0,0.455,https://youtube.com/channel/UC-IgdvCMontZYZ-P7m4w8QA
Decoding Blackhat,UCTXAHH1qR13dIEAdCuUgc7g,1,2026-06-10,"Programmatic SEO in 2026: Build 10,000 Pages That Actually Rank","""programmatic SEO"" AI",5490,108,59.0,1,5.25,0.010746812386156648,0.9833333333333333,0.825,0.053734061930783235,0.0,0.4269535519125683,https://youtube.com/channel/UCTXAHH1qR13dIEAdCuUgc7g
Digiprenueur,UCXakFUQWARr4DZiSJE0zluQ,1,2025-06-16,How I Use AI Automation to Write Blog Posts in Minutes | Full Tutorial 2025,"""how I use AI"" SEO content",368000,927,46.0,2,2.25,0.000125,0.9666666666666667,0.925,0.000625,0.0,0.4268541666666667,https://youtube.com/channel/UCXakFUQWARr4DZiSJE0zluQ
Kasra Dash,UCG9dtL6WtTNYf12Iwv3zKAA,2,2026-03-20,I Tested AI Content on Google and Here&#39;s What Happened | How I Use AI Agents to Run SEO 24/7,"""AI content workflow"" SEO, ""how I use AI"" SEO content",36900,750,678.2,41,2.25,0.018379403794037942,0.31666666666666665,0.925,0.0918970189701897,0.5,0.4167357723577236,https://youtube.com/channel/UCG9dtL6WtTNYf12Iwv3zKAA
Digital Marketing Lift Off,UCR1gpuZfTmhSbiOpDZzQPNw,2,2025-06-07,How I Use AI to Write SEO Optimized Blog Posts in 15 Minutes | Using Surfer SEO + ChatGPT to Rank on Google,"""how I use AI"" SEO content, ""Surfer SEO"" AI content workflow",873,141,46.6,345,0.0,0.05337915234822452,0.0,1.0,0.26689576174112256,0.5,0.4050687285223368,https://youtube.com/channel/UCR1gpuZfTmhSbiOpDZzQPNw
AppZone,UCgBCI6A5Y8P6LBB_VmBJRZQ,1,2025-05-11,Sage SEO Lifetime Deal I Scale Your Agency&#39;s Content Ops,"""content ops"" AI SEO",790,831,14.8,6,16.0,0.018734177215189874,0.9,0.4666666666666667,0.09367088607594937,0.0,0.3464345991561182,https://youtube.com/channel/UCgBCI6A5Y8P6LBB_VmBJRZQ
CTO by your side,UCD-BE-TUIBRFKnsdkN8w2XQ,1,2025-09-29,"How I Use AI to Write Perfect YouTube Titles, Descriptions &amp; Tags in Minutes ChatGPT/Claude Tutorial","""how I use AI"" SEO content",13,7,20.6,256,52.5,1.5846153846153848,0.0,0.0,1.0,0.0,0.3,https://youtube.com/channel/UCD-BE-TUIBRFKnsdkN8w2XQ
B2B Digital Marketing Insights by GO MO Group,UCGGkIYDYD3MdZU_Fcg4wikA,1,2025-08-28,"Enterprise SEO Playbook: Strategy, ROI &amp; the AI Shift (GEO) by Vishnu Adithya","""content ops"" AI SEO",143,24,19109.4,225,49.25,133.63216783216785,0.0,0.0,1.0,0.0,0.3,https://youtube.com/channel/UCGGkIYDYD3MdZU_Fcg4wikA
Cameron Taylor,UCJudzn62QLman25pjZfepAQ,1,2026-02-16,Sunday Thoughts - AI + SEO: Normalize Saying &quot;We Don&#39;t Know&quot; #aiseo #seostrategy #seo #ai,"""content ops"" AI SEO",11,7,336.2,117,101.5,30.563636363636363,0.0,0.0,1.0,0.0,0.3,https://youtube.com/channel/UCJudzn62QLman25pjZfepAQ
